iter	Accuracy	Logloss
0	0.7905236908	0.6769483471
1	0.7905236908	0.6630585529
2	0.7905236908	0.6485500698
3	0.7855361596	0.6360953733
4	0.7967581047	0.6233664637
5	0.7967581047	0.6118160914
6	0.7992518703	0.6022722644
7	0.7905236908	0.5930369333
8	0.7905236908	0.58426431
9	0.7880299252	0.575321774
10	0.7880299252	0.566912376
11	0.789276808	0.5595077695
12	0.789276808	0.5513134358
13	0.7955112219	0.5452547924
14	0.7942643392	0.5391754609
15	0.7942643392	0.5318516915
16	0.7955112219	0.525709775
17	0.7955112219	0.5206799513
18	0.7967581047	0.5153867528
19	0.7942643392	0.5112211661
20	0.7880299252	0.5080226094
21	0.7880299252	0.5052830844
22	0.7880299252	0.5012377453
23	0.7880299252	0.4977945533
24	0.7880299252	0.4938371867
25	0.7880299252	0.4907466633
26	0.7880299252	0.4872473685
27	0.7880299252	0.4840846544
28	0.7880299252	0.4815798478
29	0.789276808	0.4780277914
30	0.789276808	0.4759080055
31	0.7955112219	0.4745607893
32	0.7955112219	0.4724405287
33	0.7980049875	0.4714374606
34	0.8004987531	0.4706505241
35	0.8017456359	0.4675088435
36	0.8029925187	0.4665201627
37	0.8104738155	0.4655927892
38	0.8104738155	0.463987527
39	0.8092269327	0.4613708378
40	0.8092269327	0.460774469
41	0.8092269327	0.4585102981
42	0.812967581	0.4573104143
43	0.8154613466	0.4557444795
44	0.8179551122	0.4540182317
45	0.8167082294	0.4518704847
46	0.8167082294	0.4497807069
47	0.8167082294	0.4484224207
48	0.819201995	0.4465086228
49	0.819201995	0.4449438755
50	0.8204488778	0.4437240063
51	0.8216957606	0.4420441835
52	0.8216957606	0.441486965
53	0.825436409	0.4391152146
54	0.825436409	0.4380854406
55	0.8266832918	0.4374170788
56	0.8266832918	0.4369645338
57	0.8266832918	0.4350286698
58	0.8279301746	0.4332423094
59	0.8279301746	0.4319877305
60	0.825436409	0.4310442937
61	0.8279301746	0.4298048706
62	0.825436409	0.4292843164
63	0.8279301746	0.4284757378
64	0.8279301746	0.4275401432
65	0.8266832918	0.4268679367
66	0.825436409	0.4265355974
67	0.8279301746	0.4249750129
68	0.8279301746	0.4238545456
69	0.8279301746	0.4234744926
70	0.8291770574	0.4224877
71	0.8291770574	0.4215533039
72	0.8291770574	0.4207092035
73	0.8291770574	0.4202248853
74	0.8304239401	0.4195403521
75	0.8316708229	0.4183283672
76	0.8341645885	0.4178365906
77	0.8329177057	0.4173335307
78	0.8329177057	0.4171764339
79	0.8341645885	0.4163550842
80	0.8329177057	0.4162240491
81	0.8329177057	0.4150745864
82	0.8329177057	0.4147911506
83	0.8304239401	0.4141728141
84	0.8304239401	0.4137861985
85	0.8329177057	0.4134244277
86	0.8329177057	0.4126676746
87	0.8316708229	0.4121252514
88	0.8354114713	0.4113089512
89	0.8329177057	0.4109140996
90	0.8329177057	0.4100089532
91	0.8304239401	0.4092389128
92	0.8316708229	0.4084637643
93	0.8316708229	0.4081989654
94	0.8304239401	0.407871781
95	0.8304239401	0.4078036741
96	0.8316708229	0.4066711364
97	0.8304239401	0.406358318
98	0.8316708229	0.4060990149
99	0.8316708229	0.4057819398
100	0.8316708229	0.4055295651
101	0.8316708229	0.4054718201
102	0.8316708229	0.4048284388
103	0.8329177057	0.4045545525
104	0.8329177057	0.4039784594
105	0.8379052369	0.4032732199
106	0.8379052369	0.4030130254
107	0.8391521197	0.4027374038
108	0.8391521197	0.4026430897
109	0.8391521197	0.4022991257
110	0.8379052369	0.4021811988
111	0.8366583541	0.4019421079
112	0.8379052369	0.4016259772
113	0.8379052369	0.4015218939
114	0.8391521197	0.4013241955
115	0.8391521197	0.4011647439
116	0.8391521197	0.4006353927
117	0.8391521197	0.4004012959
118	0.8391521197	0.4002843589
119	0.8379052369	0.3998176556
120	0.8379052369	0.3998137654
121	0.8391521197	0.3989309317
122	0.8391521197	0.3982698032
123	0.8403990025	0.397903252
124	0.8416458853	0.3977331392
125	0.8416458853	0.3974628965
126	0.8403990025	0.3966869091
127	0.8391521197	0.3966126177
128	0.8403990025	0.3963586703
129	0.8391521197	0.3958075515
130	0.8391521197	0.3956734058
131	0.8403990025	0.3953633556
132	0.8403990025	0.3952548643
133	0.8391521197	0.395128743
