iter	Accuracy	Logloss
0	0.8017456359	0.6747516302
1	0.8004987531	0.6594055188
2	0.8017456359	0.6448105276
3	0.8029925187	0.6307495144
4	0.8054862843	0.618022298
5	0.7992518703	0.6066071203
6	0.8079800499	0.5965190506
7	0.8029925187	0.5874105424
8	0.8029925187	0.5785432441
9	0.8029925187	0.5693755571
10	0.8029925187	0.5610378387
11	0.7967581047	0.5529212136
12	0.7917705736	0.5465423477
13	0.7917705736	0.5399832459
14	0.7905236908	0.5334898262
15	0.789276808	0.526278092
16	0.789276808	0.5201675403
17	0.789276808	0.5149611903
18	0.789276808	0.5094111753
19	0.789276808	0.5048767177
20	0.789276808	0.5017708521
21	0.789276808	0.4993809646
22	0.789276808	0.4948225726
23	0.789276808	0.4912805222
24	0.789276808	0.4897069273
25	0.789276808	0.4865174047
26	0.7942643392	0.4822491767
27	0.7942643392	0.4780226675
28	0.7942643392	0.4750530371
29	0.7942643392	0.4720012139
30	0.7955112219	0.4685153443
31	0.7980049875	0.4658510822
32	0.8017456359	0.462700961
33	0.8029925187	0.4608033436
34	0.8067331671	0.460036651
35	0.8067331671	0.4588069803
36	0.8104738155	0.4559159485
37	0.8104738155	0.4542448824
38	0.8104738155	0.4523045798
39	0.8092269327	0.4507020507
40	0.8092269327	0.4491274129
41	0.8092269327	0.4474158351
42	0.8092269327	0.4470487088
43	0.8092269327	0.4460076213
44	0.812967581	0.4446980551
45	0.8092269327	0.4432876407
46	0.8104738155	0.4425376758
47	0.8104738155	0.4411146979
48	0.8142144638	0.4398126302
49	0.8154613466	0.4385851203
50	0.8154613466	0.4377984936
51	0.8154613466	0.4368771905
52	0.8179551122	0.4353536765
53	0.8241895262	0.4329166556
54	0.825436409	0.430694675
55	0.8266832918	0.429647259
56	0.8266832918	0.428850814
57	0.825436409	0.4281534193
58	0.8266832918	0.4270494327
59	0.8266832918	0.42578345
60	0.8266832918	0.4249962501
61	0.8279301746	0.4242414709
62	0.8304239401	0.4235021333
63	0.8316708229	0.4226573711
64	0.8316708229	0.4219093561
65	0.8316708229	0.4209905688
66	0.8316708229	0.4209138098
67	0.8316708229	0.4203962996
68	0.8341645885	0.4192089107
69	0.8341645885	0.4188276215
70	0.8304239401	0.4183708001
71	0.8316708229	0.4173432944
72	0.8341645885	0.4163986081
73	0.8379052369	0.4159095132
74	0.8391521197	0.4153222469
75	0.8354114713	0.4141827731
76	0.8366583541	0.4136637501
77	0.8354114713	0.412535114
78	0.8379052369	0.4118791873
79	0.8354114713	0.4114436412
80	0.8391521197	0.4102720031
81	0.8366583541	0.4101001812
82	0.8391521197	0.4093614673
83	0.8379052369	0.4090321213
84	0.8379052369	0.4076861275
85	0.8379052369	0.4072239033
86	0.8391521197	0.4066548114
87	0.8391521197	0.4061913565
