iter	Passed	Remaining
0	3	3669
1	6	3351
2	9	3321
3	12	3094
4	16	3253
5	19	3284
6	26	3696
7	29	3631
8	32	3618
9	36	3597
10	39	3576
11	43	3583
12	47	3606
13	51	3636
14	55	3627
15	58	3614
16	61	3579
17	65	3553
18	67	3498
19	69	3425
20	72	3383
21	74	3325
22	77	3307
23	80	3261
24	82	3211
25	85	3192
26	88	3175
27	91	3161
28	93	3137
29	97	3158
30	100	3135
31	103	3144
32	107	3158
33	112	3187
34	115	3188
35	119	3197
36	122	3200
37	130	3300
38	138	3418
39	170	4102
40	188	4403
41	204	4654
42	219	4878
43	224	4875
44	229	4867
45	235	4886
46	239	4856
47	243	4835
48	246	4785
49	249	4737
50	252	4690
51	255	4654
52	258	4612
53	261	4574
54	264	4536
55	266	4485
56	268	4447
57	271	4404
58	273	4361
59	275	4322
60	278	4281
61	280	4239
62	283	4210
63	286	4185
64	288	4155
65	291	4125
66	293	4087
67	296	4059
68	298	4031
69	301	4008
70	304	3977
71	306	3951
72	309	3935
73	313	3922
74	315	3897
75	320	3896
76	323	3876
77	327	3868
78	332	3872
79	337	3883
80	341	3871
81	345	3867
82	349	3857
83	353	3858
84	356	3834
85	358	3814
86	362	3800
87	365	3791
88	367	3764
89	370	3751
90	374	3737
91	377	3726
92	380	3706
93	384	3707
94	386	3685
95	389	3663
96	391	3644
97	394	3628
98	396	3606
99	399	3593
100	402	3579
101	405	3568
102	407	3553
103	410	3537
104	413	3524
105	416	3508
106	418	3491
107	421	3484
108	426	3484
109	429	3474
110	432	3460
111	435	3453
112	439	3448
113	443	3445
114	447	3440
115	449	3428
116	453	3425
117	457	3417
118	461	3415
119	465	3411
120	469	3413
121	473	3407
122	476	3399
123	481	3403
124	485	3399
125	488	3391
126	493	3392
127	496	3380
128	502	3395
129	507	3395
130	515	3422
131	522	3433
132	528	3446
133	533	3444
134	537	3442
135	540	3432
136	543	3420
137	546	3411
138	549	3405
139	552	3394
140	555	3384
141	558	3376
142	562	3372
143	565	3361
144	571	3367
145	573	3355
146	576	3346
147	579	3336
148	582	3328
149	586	3325
150	592	3329
151	595	3322
152	597	3306
153	599	3294
154	601	3279
155	605	3273
156	608	3268
157	612	3262
158	615	3255
159	617	3244
160	620	3235
161	625	3238
162	629	3234
163	633	3228
164	636	3222
165	639	3214
166	643	3207
167	646	3202
168	650	3198
169	653	3191
170	656	3183
171	659	3175
172	662	3168
173	666	3162
174	669	3157
175	673	3154
176	677	3150
177	681	3146
178	684	3140
179	687	3131
180	689	3120
181	692	3111
182	695	3104
183	697	3093
184	700	3086
185	703	3080
186	706	3072
187	709	3065
188	713	3060
189	715	3051
190	718	3044
191	721	3036
192	724	3028
193	726	3019
194	729	3011
195	734	3011
196	737	3007
197	743	3009
198	749	3017
199	756	3025
200	761	3025
201	765	3023
202	768	3017
203	771	3008
204	775	3008
205	781	3010
206	784	3005
207	788	3004
208	793	3001
209	796	2996
210	800	2994
211	804	2990
212	808	2985
213	810	2977
214	814	2972
215	816	2964
216	819	2957
217	822	2950
218	825	2943
219	828	2938
220	831	2931
221	834	2925
222	837	2918
223	840	2910
224	843	2903
225	846	2897
226	849	2891
227	853	2890
228	856	2884
229	861	2884
230	865	2881
231	867	2873
232	889	2929
233	896	2933
234	903	2942
235	910	2947
236	918	2956
237	926	2967
238	936	2980
239	939	2976
240	942	2967
241	944	2959
242	947	2952
243	950	2945
244	954	2942
245	957	2935
246	960	2927
247	963	2920
248	966	2913
249	968	2906
250	971	2900
251	974	2893
252	977	2886
253	980	2880
254	983	2873
255	986	2866
256	989	2860
257	992	2854
258	995	2846
259	997	2840
260	1000	2833
261	1006	2833
262	1013	2838
263	1017	2836
264	1027	2850
265	1035	2856
266	1046	2872
267	1060	2896
268	1068	2903
269	1081	2923
270	1100	2959
271	1110	2973
272	1122	2990
273	1132	3000
274	1147	3024
275	1165	3057
