iter	Passed	Remaining
0	13	13535
1	31	15505
2	36	12182
3	49	12413
4	57	11411
5	66	10949
6	75	10684
7	84	10496
8	94	10358
9	97	9643
10	101	9122
11	115	9493
12	119	9054
13	123	8682
14	127	8361
15	130	8048
16	134	7798
17	139	7602
18	141	7316
19	144	7058
20	146	6833
21	148	6616
22	151	6424
23	153	6241
24	156	6106
25	158	5952
26	161	5821
27	164	5719
28	167	5614
29	169	5488
30	171	5363
31	173	5254
32	175	5154
33	177	5055
34	179	4956
35	181	4862
36	186	4857
37	189	4798
38	191	4723
39	194	4665
40	196	4604
41	199	4550
42	201	4488
43	205	4463
44	210	4470
45	215	4471
46	218	4433
47	222	4408
48	225	4385
49	228	4348
50	232	4319
51	234	4274
52	239	4272
53	242	4245
54	245	4215
55	247	4173
56	250	4142
57	253	4119
58	256	4092
59	260	4077
60	262	4039
61	265	4019
62	270	4017
63	272	3985
64	276	3973
65	280	3964
66	282	3939
67	286	3930
68	288	3894
69	291	3868
70	293	3846
71	297	3834
72	300	3812
73	303	3791
74	306	3776
75	309	3761
76	311	3739
77	314	3718
78	317	3702
79	320	3682
80	322	3662
81	325	3640
82	328	3624
83	330	3606
84	332	3584
85	335	3570
86	338	3548
87	340	3528
88	342	3503
89	345	3495
90	349	3488
91	351	3472
92	355	3466
93	359	3464
94	362	3449
95	365	3437
96	368	3429
97	370	3412
98	373	3397
99	375	3381
100	382	3403
101	386	3400
102	388	3387
103	391	3373
104	394	3363
105	397	3351
106	400	3341
107	404	3341
108	408	3339
109	411	3328
110	413	3314
111	415	3292
112	417	3274
113	421	3278
114	425	3275
115	429	3271
116	431	3256
117	433	3240
118	435	3226
119	437	3209
120	440	3196
121	442	3183
122	444	3166
123	446	3153
124	448	3142
125	451	3128
126	453	3116
127	455	3104
128	457	3092
129	460	3079
130	462	3066
131	464	3054
132	467	3047
133	470	3039
134	472	3029
135	475	3018
136	477	3008
137	480	3002
138	484	2999
139	488	2998
140	490	2989
141	492	2978
142	497	2980
143	501	2979
144	504	2974
145	507	2965
146	510	2960
147	512	2951
148	516	2948
149	518	2939
150	521	2931
151	524	2923
152	526	2916
153	529	2908
154	531	2897
155	534	2891
156	537	2883
157	538	2871
158	541	2862
159	544	2856
160	547	2853
161	549	2843
162	552	2834
163	554	2825
164	556	2816
165	558	2805
166	560	2794
167	563	2789
168	564	2777
169	566	2767
170	569	2760
171	571	2751
172	574	2745
173	577	2743
174	581	2739
175	583	2733
176	586	2727
177	589	2721
178	591	2714
179	594	2709
180	597	2703
181	600	2698
182	606	2706
183	615	2728
184	622	2741
185	626	2740
186	629	2738
187	633	2734
188	635	2726
189	637	2718
190	642	2723
191	645	2717
192	647	2709
193	649	2700
194	653	2696
195	655	2687
196	657	2679
197	659	2671
198	661	2664
199	664	2656
200	666	2649
201	668	2640
202	670	2630
203	672	2625
204	675	2617
205	676	2609
206	679	2601
207	681	2593
208	683	2587
209	685	2579
210	687	2572
211	690	2566
212	692	2559
213	695	2555
214	698	2548
215	700	2542
216	702	2535
217	705	2529
218	707	2522
219	709	2515
220	711	2508
221	713	2500
222	715	2493
223	717	2486
224	719	2478
225	721	2471
226	723	2464
227	725	2457
228	727	2449
229	729	2440
230	732	2437
231	734	2431
232	737	2429
233	741	2426
234	744	2424
235	747	2420
236	750	2417
237	753	2413
238	756	2409
239	759	2404
240	761	2399
241	764	2393
242	767	2389
243	770	2388
244	773	2383
245	775	2376
246	778	2372
247	780	2367
248	784	2365
249	788	2364
250	790	2360
251	793	2356
252	796	2350
253	800	2350
254	804	2349
255	806	2344
256	809	2339
257	811	2334
258	814	2328
259	818	2330
260	827	2341
261	829	2337
262	832	2333
263	836	2331
264	838	2326
265	841	2322
266	844	2317
267	847	2314
268	850	2311
269	853	2307
270	856	2304
271	860	2303
272	865	2305
273	868	2302
274	872	2299
275	874	2294
276	877	2291
277	880	2287
278	883	2283
279	885	2278
280	888	2273
281	890	2268
282	893	2262
283	895	2256
284	897	2251
285	899	2246
286	902	2241
287	903	2234
288	906	2229
289	908	2223
290	910	2217
291	912	2212
292	914	2207
293	917	2202
294	919	2196
295	921	2191
296	923	2185
297	925	2180
298	928	2177
299	931	2173
300	933	2168
301	936	2163
302	938	2158
303	940	2153
304	942	2148
305	945	2144
306	947	2139
307	949	2133
308	951	2128
309	954	2123
310	956	2118
311	959	2115
312	963	2114
313	967	2112
314	970	2111
315	974	2108
316	977	2107
317	982	2106
318	986	2106
319	991	2107
320	996	2107
321	1001	2107
322	1009	2115
323	1017	2123
324	1023	2124
325	1027	2123
326	1030	2121
327	1033	2117
328	1035	2111
329	1037	2107
330	1040	2103
331	1043	2098
332	1045	2093
333	1047	2088
334	1050	2084
335	1052	2079
336	1055	2076
337	1057	2070
338	1059	2066
339	1061	2060
340	1063	2055
341	1066	2051
342	1069	2048
343	1072	2044
344	1075	2041
345	1077	2035
346	1079	2031
347	1081	2026
348	1083	2021
349	1086	2018
350	1089	2013
351	1091	2009
352	1093	2004
353	1095	1999
354	1098	1995
355	1100	1990
356	1103	1986
357	1105	1982
358	1107	1977
359	1109	1973
360	1113	1970
361	1116	1967
362	1119	1964
363	1122	1961
364	1125	1958
365	1128	1954
366	1133	1955
367	1137	1952
368	1140	1949
369	1142	1946
370	1146	1943
371	1148	1939
372	1151	1935
