iter	Accuracy	Logloss
0	0.8142144638	0.6758056284
1	0.8142144638	0.6607495147
2	0.8154613466	0.646003733
3	0.8092269327	0.6326774051
4	0.8092269327	0.6199032312
5	0.8067331671	0.6083992847
6	0.8092269327	0.5983319537
7	0.8067331671	0.5882620729
8	0.8067331671	0.5792088052
9	0.8067331671	0.5697378152
10	0.8092269327	0.5612190179
11	0.8092269327	0.5524361323
12	0.8092269327	0.543392315
13	0.8104738155	0.5374780993
14	0.8079800499	0.5331309207
15	0.8079800499	0.527074535
16	0.8079800499	0.5210137477
17	0.8054862843	0.5160285181
18	0.8042394015	0.5108889205
19	0.8054862843	0.5064648543
20	0.8067331671	0.5009431462
21	0.8079800499	0.496794856
22	0.8104738155	0.4929767607
23	0.8079800499	0.4896251387
24	0.8104738155	0.4858774793
25	0.8104738155	0.4830119414
26	0.8104738155	0.4813290569
27	0.8117206983	0.4776971687
28	0.8117206983	0.4739772954
29	0.8142144638	0.4708857833
30	0.8142144638	0.4682191708
31	0.8154613466	0.4659470449
32	0.8179551122	0.4626541616
33	0.8167082294	0.4608573279
34	0.8179551122	0.458853759
35	0.8179551122	0.4573335255
36	0.8179551122	0.4554331342
37	0.8179551122	0.4540022358
38	0.8179551122	0.4531225482
39	0.8179551122	0.45110181
40	0.819201995	0.4494043928
41	0.8204488778	0.4471503011
42	0.8216957606	0.4455948508
43	0.8204488778	0.4439538562
44	0.819201995	0.4427623698
45	0.819201995	0.4406256078
46	0.8216957606	0.4393770309
47	0.8241895262	0.4373995684
48	0.8216957606	0.436714104
49	0.8266832918	0.4350693157
50	0.8266832918	0.4326633498
51	0.8279301746	0.4318596365
52	0.8291770574	0.430279793
53	0.8316708229	0.4292673844
54	0.8291770574	0.4287749956
55	0.8329177057	0.4277683144
56	0.8304239401	0.4260697564
57	0.8341645885	0.4253840335
58	0.8341645885	0.4243541989
59	0.8304239401	0.4237058758
60	0.8304239401	0.4222973332
61	0.8304239401	0.4216533691
62	0.8316708229	0.4213741497
63	0.8329177057	0.4201906165
64	0.8366583541	0.4198846531
65	0.8341645885	0.4194684243
66	0.8354114713	0.4191307903
67	0.8354114713	0.4178619306
68	0.8341645885	0.41770698
69	0.8354114713	0.4165852775
70	0.8329177057	0.4149482125
71	0.8354114713	0.41414091
72	0.8366583541	0.4132475049
73	0.8391521197	0.4127989883
74	0.8341645885	0.4112608656
75	0.8379052369	0.4106037861
76	0.8366583541	0.4097244933
77	0.8366583541	0.4088850533
78	0.8354114713	0.4084109366
79	0.8354114713	0.4076799884
80	0.8403990025	0.4072492168
81	0.8403990025	0.4067263249
82	0.8416458853	0.4059231195
83	0.8391521197	0.4055201444
84	0.8391521197	0.4050837821
85	0.8403990025	0.4038666743
86	0.8403990025	0.4029943587
87	0.8403990025	0.4021245069
88	0.8391521197	0.4016327102
89	0.8403990025	0.4013207224
90	0.8403990025	0.4009935027
91	0.8403990025	0.4004816518
92	0.8391521197	0.3997707416
93	0.8391521197	0.3996874881
94	0.8403990025	0.3994163291
95	0.8391521197	0.398976574
96	0.8403990025	0.3986604436
97	0.8416458853	0.3981659045
98	0.8391521197	0.3978928954
99	0.8391521197	0.3974121424
100	0.8403990025	0.3970974979
101	0.8403990025	0.3968549098
102	0.8403990025	0.3966722344
103	0.8391521197	0.3960591572
104	0.8391521197	0.3957090722
105	0.8391521197	0.3947646677
106	0.8366583541	0.3945549962
107	0.8379052369	0.3942806659
108	0.8391521197	0.3937473126
109	0.8403990025	0.3934176899
110	0.8403990025	0.3933552832
111	0.8403990025	0.3931400447
112	0.8403990025	0.3929073588
113	0.8403990025	0.3928253141
