iter	Accuracy	Logloss
0	0.7870485679	0.6761665024
1	0.7945205479	0.6615819417
2	0.8094645081	0.6464428411
3	0.8132004981	0.6322333193
4	0.8094645081	0.619473906
5	0.8094645081	0.6080127434
6	0.8107098381	0.5978260683
7	0.8119551681	0.5892234972
8	0.8119551681	0.5794766824
9	0.8144458281	0.5693285534
10	0.8144458281	0.5611217747
11	0.8144458281	0.554072365
12	0.8132004981	0.5458480859
13	0.8119551681	0.5397247308
14	0.8119551681	0.5340233256
15	0.8132004981	0.529811139
16	0.8094645081	0.5253534086
17	0.8119551681	0.5193118575
18	0.8107098381	0.5138262454
19	0.8094645081	0.5096253528
20	0.8132004981	0.5051136592
21	0.8132004981	0.4996058756
22	0.8094645081	0.496972823
23	0.8107098381	0.4922447223
24	0.8107098381	0.4893669264
25	0.8057285181	0.4856500612
26	0.8119551681	0.4834390897
27	0.8144458281	0.4809732345
28	0.8144458281	0.478124484
29	0.8144458281	0.4741096862
30	0.8144458281	0.4713775525
31	0.8119551681	0.4695908139
32	0.8132004981	0.4686552632
33	0.8144458281	0.4664082213
34	0.8206724782	0.4652144981
35	0.8144458281	0.4636652076
36	0.8156911582	0.4619744944
37	0.8156911582	0.459947011
38	0.8194271482	0.4573388508
39	0.8206724782	0.4545543529
40	0.8206724782	0.4529133609
41	0.8281444583	0.4514477026
42	0.8231631382	0.4498056446
43	0.8219178082	0.4473717561
44	0.8231631382	0.4455911358
45	0.8231631382	0.4438540188
46	0.8293897883	0.4423978742
47	0.8281444583	0.4406989128
48	0.8306351183	0.4387274634
49	0.8356164384	0.43728071
50	0.8318804483	0.4361637429
51	0.8331257783	0.4345518009
52	0.8331257783	0.4330795945
53	0.8318804483	0.4321346253
54	0.8318804483	0.4302196155
55	0.8331257783	0.4291405755
56	0.8318804483	0.4275904681
57	0.8318804483	0.4268530892
58	0.8343711083	0.4255531526
59	0.8368617684	0.4242853344
60	0.8381070984	0.4234890953
61	0.8356164384	0.421938957
62	0.8381070984	0.4212104898
63	0.8356164384	0.4199240494
64	0.8343711083	0.4186560752
65	0.8356164384	0.4171012775
66	0.8356164384	0.4164567479
67	0.8368617684	0.4155531007
68	0.8381070984	0.4149387479
69	0.8381070984	0.4141398663
70	0.8381070984	0.4135933282
71	0.8381070984	0.4132210212
72	0.8393524284	0.412069477
73	0.8393524284	0.411606364
74	0.8393524284	0.411048577
75	0.8393524284	0.4105993867
76	0.8393524284	0.4096783797
77	0.8381070984	0.4093444958
78	0.8381070984	0.4087629239
79	0.8381070984	0.4079341102
80	0.8381070984	0.4074630892
81	0.8405977584	0.4065237294
82	0.8418430884	0.4062404985
83	0.8393524284	0.4051398226
84	0.8393524284	0.4046941772
85	0.8405977584	0.4043765567
86	0.8430884184	0.4039564504
87	0.8430884184	0.4030041774
88	0.8418430884	0.4027253337
89	0.8418430884	0.4021889238
90	0.8405977584	0.4015447821
91	0.8405977584	0.4011860144
92	0.8405977584	0.3999617539
93	0.8405977584	0.3994784971
94	0.8405977584	0.3987745447
95	0.8405977584	0.3982735562
96	0.8405977584	0.3981119679
97	0.8405977584	0.3974746033
98	0.8405977584	0.3969709307
99	0.8405977584	0.3962393727
100	0.8405977584	0.3960174616
101	0.8405977584	0.3955739665
102	0.8405977584	0.3949015719
103	0.8405977584	0.3947056563
104	0.8405977584	0.3942698721
105	0.8405977584	0.3935637145
106	0.8405977584	0.3933836771
107	0.8405977584	0.3933617746
108	0.8405977584	0.3933056046
109	0.8405977584	0.3929467577
110	0.8405977584	0.3920179838
111	0.8405977584	0.3916646395
112	0.8405977584	0.3912370296
113	0.8405977584	0.3911458856
114	0.8405977584	0.3907982269
115	0.8405977584	0.3905239643
116	0.8405977584	0.3895639044
117	0.8405977584	0.3893511863
118	0.8405977584	0.3892624562
119	0.8405977584	0.3892488054
120	0.8405977584	0.3892148324
121	0.8405977584	0.3888095381
122	0.8405977584	0.3882341133
123	0.8418430884	0.3880028427
124	0.8418430884	0.3878377954
125	0.8418430884	0.3877034255
126	0.8418430884	0.3872301915
127	0.8418430884	0.3867317882
128	0.8418430884	0.3866307058
129	0.8418430884	0.3863334564
130	0.8418430884	0.3861711458
131	0.8418430884	0.3854321557
132	0.8418430884	0.3852199896
133	0.8418430884	0.3850892464
134	0.8418430884	0.3849879965
135	0.8418430884	0.3845450359
136	0.8430884184	0.3841269282
137	0.8418430884	0.384073813
138	0.8430884184	0.3838634888
139	0.8430884184	0.383744386
140	0.8443337484	0.3831537255
141	0.8443337484	0.3826560513
142	0.8430884184	0.3826290679
143	0.8443337484	0.3819300073
144	0.8430884184	0.38139176
145	0.8430884184	0.381170439
146	0.8430884184	0.3808059836
147	0.8430884184	0.3804236657
148	0.8430884184	0.3800761913
149	0.8443337484	0.3799732173
150	0.8455790785	0.3795146475
151	0.8443337484	0.3788736776
152	0.8455790785	0.3785097012
153	0.8455790785	0.3784393392
154	0.8455790785	0.378214779
155	0.8455790785	0.3782035093
156	0.8443337484	0.3778885617
157	0.8455790785	0.377634974
158	0.8455790785	0.3773404508
159	0.8455790785	0.3771543908
160	0.8455790785	0.3770665109
161	0.8443337484	0.3767819906
162	0.8443337484	0.3764191229
163	0.8430884184	0.3761333771
164	0.8443337484	0.375978472
165	0.8443337484	0.3756106165
166	0.8430884184	0.3751310421
167	0.8430884184	0.3750076391
168	0.8443337484	0.3746984246
169	0.8443337484	0.3741108324
170	0.8443337484	0.3740032874
171	0.8455790785	0.3738731032
172	0.8430884184	0.3735681357
173	0.8443337484	0.3733838188
174	0.8455790785	0.3733100804
175	0.8468244085	0.3732678484
176	0.8468244085	0.3729583913
177	0.8455790785	0.3726846172
178	0.8455790785	0.3723503061
179	0.8468244085	0.3721585931
180	0.8468244085	0.3719148229
181	0.8468244085	0.3716121285
182	0.8468244085	0.371421217
183	0.8480697385	0.3713414833
184	0.8480697385	0.3713254454
185	0.8468244085	0.3710799865
186	0.8468244085	0.3710793699
187	0.8480697385	0.3709624559
188	0.8468244085	0.3708385935
189	0.8480697385	0.3707629963
190	0.8480697385	0.3706388639
191	0.8480697385	0.3705848351
192	0.8480697385	0.3702262643
193	0.8468244085	0.3701410416
194	0.8468244085	0.3701129333
195	0.8468244085	0.3700207561
196	0.8493150685	0.3696875108
