iter	Passed	Remaining
0	5	5740
1	9	4892
2	12	4285
3	16	4070
4	20	4073
5	24	4026
6	31	4510
7	35	4461
8	42	4676
9	50	4994
10	55	4999
11	60	4981
12	66	5081
13	71	5046
14	77	5083
15	82	5049
16	86	4980
17	91	4992
18	120	6237
19	134	6575
20	141	6608
21	144	6423
22	155	6623
23	159	6478
24	173	6754
25	182	6850
26	195	7062
27	199	6929
28	211	7073
29	221	7150
30	227	7105
31	232	7025
32	241	7069
33	249	7078
34	262	7238
35	267	7159
36	277	7212
37	286	7264
38	294	7248
39	298	7165
40	302	7066
41	306	6983
42	309	6897
43	313	6803
44	317	6736
45	323	6706
46	326	6625
47	331	6576
48	345	6704
49	350	6655
50	354	6600
51	363	6629
52	368	6590
53	372	6532
54	375	6459
55	382	6452
56	394	6521
57	401	6515
58	407	6495
59	415	6505
60	421	6495
61	424	6420
62	429	6387
63	436	6384
64	439	6316
65	442	6261
66	445	6200
67	451	6193
68	458	6186
69	464	6165
70	469	6149
71	475	6123
72	479	6094
73	484	6057
74	491	6067
75	499	6078
76	511	6132
77	522	6176
78	537	6264
79	550	6326
80	558	6341
81	568	6360
82	580	6418
83	587	6405
84	590	6356
85	594	6318
86	598	6275
87	601	6234
88	605	6197
89	609	6158
90	613	6128
91	616	6089
92	621	6059
93	625	6025
94	628	5986
95	631	5950
96	635	5915
97	638	5880
98	642	5848
99	646	5815
100	650	5794
101	654	5763
102	659	5742
103	663	5716
104	667	5685
105	671	5660
106	676	5643
107	682	5634
108	686	5615
109	692	5602
110	698	5591
111	702	5572
112	705	5534
113	717	5576
114	721	5555
115	724	5524
116	729	5506
117	734	5490
118	741	5491
119	745	5469
120	749	5447
121	758	5457
122	765	5457
123	770	5441
124	776	5434
125	782	5428
126	789	5424
127	794	5415
128	801	5414
129	810	5422
130	835	5542
131	853	5612
132	859	5604
133	865	5592
134	870	5578
135	876	5568
136	883	5563
137	888	5548
138	896	5553
139	902	5540
140	909	5541
141	912	5514
142	916	5493
143	920	5473
144	926	5460
145	930	5442
146	935	5426
147	939	5409
148	944	5396
149	952	5397
150	957	5381
151	960	5358
152	963	5335
153	967	5313
154	970	5292
155	973	5266
156	976	5242
157	979	5222
158	983	5201
159	986	5178
160	989	5155
161	991	5131
162	995	5111
163	998	5088
164	1001	5069
165	1005	5050
166	1009	5033
167	1012	5016
168	1016	4999
169	1019	4979
170	1023	4961
171	1027	4946
172	1030	4928
173	1033	4907
174	1037	4891
175	1040	4871
176	1044	4857
177	1049	4848
178	1055	4841
179	1059	4825
180	1065	4821
181	1070	4812
182	1077	4810
183	1084	4810
184	1089	4799
185	1093	4787
186	1097	4772
187	1100	4754
188	1104	4739
189	1107	4722
190	1111	4708
191	1114	4692
192	1117	4672
193	1119	4652
194	1123	4639
195	1126	4620
196	1129	4604
197	1132	4587
198	1135	4571
199	1144	4578
200	1149	4568
201	1154	4559
202	1158	4549
203	1161	4532
204	1165	4519
205	1170	4512
206	1177	4509
207	1179	4492
208	1184	4481
209	1188	4470
210	1193	4463
211	1198	4454
212	1203	4444
213	1207	4434
214	1210	4420
215	1214	4408
216	1217	4394
217	1221	4381
218	1224	4368
219	1228	4354
220	1231	4340
221	1234	4326
222	1237	4312
223	1241	4299
224	1244	4286
225	1247	4271
226	1250	4258
227	1254	4246
228	1257	4235
229	1262	4226
230	1265	4211
231	1269	4201
232	1273	4190
233	1275	4176
234	1277	4158
235	1281	4147
236	1284	4135
237	1287	4123
238	1291	4111
239	1294	4099
240	1297	4087
241	1300	4073
242	1303	4061
243	1307	4052
244	1310	4039
245	1315	4032
246	1318	4021
247	1323	4013
248	1326	4001
249	1340	4021
250	1349	4027
251	1366	4056
252	1386	4094
253	1394	4095
254	1404	4102
255	1417	4120
256	1423	4115
257	1431	4116
258	1436	4109
259	1439	4098
260	1447	4097
261	1455	4099
262	1461	4095
263	1468	4093
264	1472	4085
265	1481	4087
266	1487	4084
267	1497	4090
268	1505	4092
269	1520	4111
270	1525	4103
271	1529	4093
272	1533	4083
273	1538	4076
274	1548	4083
275	1553	4075
276	1560	4073
277	1569	4075
278	1574	4067
279	1579	4060
280	1582	4049
281	1586	4039
282	1591	4031
283	1595	4022
284	1599	4013
285	1603	4003
286	1606	3991
287	1609	3979
288	1613	3968
289	1616	3958
290	1620	3948
291	1623	3937
292	1627	3926
293	1630	3915
294	1634	3906
295	1638	3896
296	1641	3885
297	1645	3875
298	1648	3864
299	1652	3855
300	1655	3843
301	1659	3836
302	1663	3827
303	1667	3818
304	1672	3810
305	1676	3802
306	1680	3793
307	1684	3783
308	1689	3777
309	1693	3770
310	1698	3763
311	1705	3760
312	1710	3753
313	1716	3749
314	1724	3749
315	1729	3742
316	1733	3735
317	1738	3728
318	1742	3719
319	1745	3708
320	1749	3700
321	1754	3694
322	1758	3685
323	1762	3677
324	1766	3668
325	1770	3660
326	1775	3653
327	1778	3644
328	1782	3636
329	1786	3627
330	1795	3628
331	1801	3624
332	1807	3620
333	1820	3630
334	1827	3627
335	1834	3624
336	1839	3619
337	1846	3616
338	1852	3612
339	1859	3609
340	1865	3604
341	1871	3601
342	1877	3595
343	1881	3587
344	1885	3579
345	1889	3571
346	1894	3564
347	1897	3556
348	1901	3547
349	1905	3539
350	1910	3532
351	1914	3524
352	1918	3515
353	1921	3507
354	1925	3498
355	1931	3493
356	1935	3485
357	1939	3477
358	1942	3468
359	1945	3459
360	1952	3456
361	1959	3452
362	1966	3450
363	1972	3446
364	1984	3452
365	1994	3455
366	2000	3450
367	2005	3444
368	2009	3436
369	2013	3429
370	2017	3420
371	2028	3424
372	2038	3427
373	2050	3431
374	2065	3443
375	2073	3441
376	2083	3442
377	2091	3442
378	2094	3432
379	2098	3423
380	2102	3416
381	2107	3409
382	2110	3400
383	2115	3394
384	2122	3389
385	2128	3385
386	2134	3380
387	2139	3374
388	2145	3369
389	2149	3362
390	2156	3359
391	2160	3350
392	2165	3344
393	2172	3341
394	2178	3336
395	2183	3329
396	2188	3324
397	2191	3314
398	2194	3306
399	2200	3300
400	2207	3297
401	2212	3290
402	2215	3281
403	2218	3273
404	2222	3264
405	2225	3255
406	2228	3247
407	2232	3239
408	2235	3229
409	2238	3221
410	2242	3213
411	2245	3205
412	2250	3199
413	2255	3192
414	2260	3187
415	2265	3180
416	2269	3173
417	2274	3166
418	2280	3161
419	2285	3155
420	2290	3149
421	2301	3151
422	2306	3146
423	2309	3137
424	2318	3136
425	2323	3131
426	2328	3124
427	2332	3117
428	2336	3109
429	2341	3104
430	2346	3097
431	2350	3090
432	2354	3083
433	2359	3076
434	2364	3070
435	2368	3063
436	2372	3056
437	2379	3052
438	2382	3045
439	2386	3037
440	2392	3032
441	2402	3033
442	2407	3027
443	2413	3022
444	2419	3017
445	2424	3012
446	2430	3007
447	2435	3000
448	2441	2995
449	2446	2989
450	2452	2984
451	2455	2976
452	2460	2971
453	2465	2965
454	2469	2957
455	2473	2950
456	2477	2943
457	2480	2935
458	2484	2928
459	2488	2920
460	2492	2913
461	2495	2906
462	2499	2899
463	2507	2896
464	2513	2891
465	2516	2883
466	2521	2877
467	2530	2876
468	2536	2871
469	2542	2866
470	2548	2862
471	2554	2857
472	2560	2852
473	2566	2847
474	2571	2842
475	2576	2836
476	2583	2832
477	2600	2840
478	2605	2833
479	2624	2842
480	2630	2838
481	2634	2830
482	2639	2825
483	2646	2821
484	2649	2813
485	2659	2813
486	2663	2806
487	2681	2813
488	2685	2806
489	2690	2800
490	2696	2795
491	2703	2791
492	2708	2785
493	2714	2780
494	2720	2775
495	2730	2774
496	2735	2768
497	2739	2761
498	2742	2753
499	2747	2747
500	2752	2741
501	2757	2735
502	2762	2729
503	2766	2722
504	2770	2715
505	2777	2711
506	2780	2704
507	2785	2697
508	2789	2690
509	2793	2683
510	2797	2676
511	2800	2669
512	2804	2662
513	2808	2655
514	2812	2648
515	2816	2641
516	2821	2635
517	2825	2628
518	2829	2622
519	2833	2615
520	2839	2610
521	2842	2603
522	2846	2595
523	2850	2589
524	2854	2582
525	2859	2576
526	2865	2572
527	2872	2567
528	2880	2564
529	2887	2560
530	2894	2556
531	2901	2552
532	2906	2546
533	2910	2539
534	2914	2533
535	2918	2526
536	2922	2519
537	2927	2513
538	2932	2508
539	2936	2501
540	2941	2495
541	2944	2488
542	2948	2481
543	2952	2474
544	2955	2467
545	2961	2462
546	2968	2458
547	2976	2455
548	2983	2450
549	2987	2444
550	2992	2438
551	2997	2432
552	3004	2428
553	3009	2422
554	3013	2416
555	3018	2410
556	3025	2406
557	3032	2402
558	3039	2398
559	3045	2393
560	3048	2385
561	3052	2379
562	3056	2372
563	3059	2365
564	3062	2358
565	3066	2351
566	3070	2344
567	3074	2338
568	3077	2331
569	3081	2324
570	3085	2318
571	3089	2311
572	3093	2305
573	3097	2298
574	3101	2292
575	3107	2287
576	3110	2280
577	3114	2274
578	3121	2269
579	3128	2265
580	3132	2258
581	3136	2252
582	3140	2246
583	3143	2239
584	3148	2233
585	3154	2228
586	3158	2222
587	3162	2216
588	3166	2209
589	3170	2203
590	3175	2197
591	3181	2192
592	3187	2188
593	3193	2183
594	3200	2178
595	3204	2171
596	3207	2165
597	3211	2159
598	3216	2152
599	3218	2145
600	3222	2139
601	3228	2134
602	3234	2129
603	3238	2123
604	3243	2117
605	3249	2112
606	3256	2108
607	3264	2104
608	3269	2098
609	3273	2092
610	3277	2086
611	3283	2081
612	3288	2076
613	3295	2071
614	3301	2066
615	3307	2061
616	3315	2058
617	3323	2054
618	3327	2048
619	3332	2042
620	3335	2035
621	3338	2029
622	3342	2022
623	3345	2016
624	3349	2009
625	3352	2003
626	3355	1996
627	3359	1990
628	3363	1983
629	3367	1977
630	3371	1971
631	3374	1965
632	3378	1958
633	3385	1954
634	3389	1948
635	3393	1942
636	3397	1935
637	3400	1929
638	3405	1923
639	3410	1918
640	3414	1912
641	3418	1906
642	3425	1901
643	3433	1897
644	3437	1892
645	3443	1886
646	3447	1881
647	3451	1874
648	3455	1868
649	3459	1862
650	3463	1857
651	3470	1852
652	3476	1847
653	3482	1842
654	3488	1837
655	3494	1832
656	3498	1826
657	3501	1820
658	3505	1814
659	3510	1808
660	3513	1802
661	3520	1797
662	3524	1791
663	3528	1785
664	3533	1779
665	3537	1774
666	3541	1767
667	3546	1762
668	3554	1758
669	3562	1754
670	3573	1751
671	3581	1747
672	3588	1743
673	3594	1738
674	3598	1732
675	3602	1726
676	3607	1721
677	3611	1715
678	3615	1709
679	3619	1703
680	3624	1697
681	3630	1692
682	3635	1687
683	3639	1681
684	3647	1677
685	3657	1674
686	3664	1669
687	3670	1664
688	3674	1658
689	3679	1652
690	3683	1647
691	3687	1641
692	3691	1635
693	3696	1629
694	3701	1624
695	3705	1618
696	3711	1613
697	3725	1612
698	3736	1608
699	3747	1606
700	3753	1601
701	3757	1594
702	3764	1590
703	3769	1584
704	3776	1580
705	3783	1575
706	3788	1569
707	3794	1564
708	3797	1558
709	3802	1553
710	3809	1548
711	3817	1544
712	3829	1541
713	3837	1537
714	3852	1535
715	3865	1533
716	3870	1527
717	3876	1522
718	3882	1517
719	3888	1512
720	3893	1506
721	3897	1500
722	3900	1494
723	3907	1489
724	3913	1484
725	3917	1478
726	3925	1474
727	3931	1468
728	3938	1463
729	3946	1459
730	3951	1454
731	3956	1448
732	3961	1443
733	3966	1437
734	3973	1432
735	3976	1426
736	3981	1420
737	3993	1417
738	4000	1412
739	4009	1408
740	4013	1403
741	4023	1399
742	4031	1394
743	4040	1390
744	4050	1386
745	4059	1382
746	4063	1376
747	4066	1370
748	4070	1364
749	4073	1357
750	4077	1351
751	4080	1345
752	4084	1339
753	4087	1333
754	4091	1327
755	4098	1322
756	4103	1317
757	4108	1311
758	4115	1306
759	4123	1302
760	4133	1298
761	4138	1292
762	4143	1286
763	4148	1281
764	4155	1276
765	4160	1271
766	4167	1265
767	4174	1260
768	4181	1256
769	4187	1250
770	4193	1245
771	4201	1240
772	4206	1235
773	4222	1232
774	4231	1228
775	4237	1223
776	4248	1219
777	4255	1214
778	4262	1209
779	4269	1204
780	4275	1198
781	4280	1193
782	4287	1188
783	4293	1182
784	4300	1177
785	4307	1172
786	4310	1166
787	4313	1160
788	4318	1154
789	4330	1151
790	4336	1145
791	4342	1140
792	4346	1134
793	4352	1129
794	4360	1124
795	4364	1118
796	4368	1112
797	4372	1106
798	4377	1101
799	4384	1096
800	4389	1090
801	4394	1084
802	4401	1079
803	4408	1074
804	4417	1070
805	4427	1065
806	4434	1060
807	4440	1055
808	4444	1049
809	4451	1044
810	4454	1038
811	4458	1032
812	4462	1026
813	4473	1022
814	4478	1016
815	4486	1011
816	4490	1005
817	4494	999
818	4504	995
819	4517	991
820	4526	986
821	4532	981
822	4537	975
823	4546	971
824	4551	965
825	4553	959
826	4561	954
827	4566	948
828	4573	943
829	4582	938
830	4588	933
831	4594	927
832	4602	922
833	4606	916
834	4610	911
835	4613	905
836	4617	899
837	4620	893
838	4624	887
839	4627	881
840	4631	875
841	4635	869
842	4640	864
843	4648	859
844	4657	854
845	4664	849
846	4671	843
847	4686	839
848	4694	834
849	4701	829
850	4706	824
851	4712	818
852	4716	812
853	4720	807
854	4726	801
855	4729	795
856	4732	789
857	4735	783
858	4737	777
859	4741	771
860	4744	765
861	4748	760
862	4754	754
863	4758	748
864	4761	743
865	4764	737
866	4771	731
867	4777	726
868	4781	720
869	4784	714
870	4788	709
871	4792	703
872	4795	697
873	4799	691
874	4803	686
875	4807	680
876	4810	674
877	4814	668
878	4817	663
879	4820	657
880	4824	651
881	4829	646
882	4834	640
883	4839	635
884	4844	629
885	4849	623
886	4854	618
887	4858	612
888	4864	607
889	4868	601
890	4873	596
891	4877	590
892	4882	584
893	4886	579
894	4891	573
895	4895	568
896	4899	562
897	4902	556
898	4906	551
899	4910	545
900	4914	539
901	4918	534
902	4923	528
903	4929	523
904	4933	517
905	4936	512
906	4940	506
907	4945	501
908	4950	495
909	4955	490
910	4961	484
911	4968	479
912	4973	473
913	4979	468
914	4985	463
915	4991	457
916	4997	452
917	5002	446
918	5008	441
919	5014	436
920	5019	430
921	5024	425
922	5028	419
923	5032	413
924	5036	408
925	5040	402
926	5044	397
927	5048	391
928	5052	386
929	5058	380
930	5061	375
931	5065	369
932	5069	364
933	5078	358
934	5083	353
935	5092	348
936	5097	342
937	5102	337
938	5107	331
939	5112	326
940	5124	321
941	5130	315
942	5135	310
943	5140	304
944	5145	299
945	5149	293
946	5153	288
947	5158	282
948	5162	277
949	5166	271
950	5170	266
951	5174	260
952	5178	255
953	5185	250
954	5189	244
955	5194	239
956	5197	233
957	5202	228
958	5205	222
959	5210	217
960	5213	211
961	5221	206
962	5227	200
963	5235	195
964	5247	190
965	5258	185
966	5271	179
967	5280	174
968	5291	169
969	5297	163
970	5302	158
971	5309	152
972	5315	147
973	5320	142
974	5326	136
975	5330	131
976	5336	125
977	5339	120
978	5342	114
979	5348	109
980	5354	103
981	5360	98
982	5366	92
983	5371	87
984	5376	81
985	5380	76
986	5384	70
987	5388	65
988	5391	59
989	5395	54
990	5398	49
991	5405	43
992	5412	38
993	5419	32
994	5425	27
995	5431	21
996	5437	16
997	5442	10
998	5448	5
999	5455	0
