iter	Accuracy	Logloss
0	0.7980049875	0.6757361451
1	0.7980049875	0.6608152093
2	0.8067331671	0.6454778767
3	0.8067331671	0.6317727413
4	0.8142144638	0.6185497203
5	0.8142144638	0.6069519065
6	0.8179551122	0.5965338235
7	0.812967581	0.5863802305
8	0.8104738155	0.5768621322
9	0.8104738155	0.5672307762
10	0.8092269327	0.5586747831
11	0.8042394015	0.5510162916
12	0.8079800499	0.5444085594
13	0.8079800499	0.5378771198
14	0.8042394015	0.5314910976
15	0.8029925187	0.5257769417
16	0.8029925187	0.5190318251
17	0.8004987531	0.513980687
18	0.7992518703	0.5088220431
19	0.8004987531	0.5041145178
20	0.7992518703	0.5004287731
21	0.7980049875	0.4969857212
22	0.7992518703	0.49342249
23	0.7955112219	0.4901438216
24	0.7942643392	0.4880128094
25	0.7930174564	0.483794651
26	0.7942643392	0.4802311664
27	0.7955112219	0.476289137
28	0.7992518703	0.4741455377
29	0.812967581	0.4699200753
30	0.8117206983	0.466266525
31	0.812967581	0.463856158
32	0.8142144638	0.4620698492
33	0.819201995	0.4603639226
34	0.8204488778	0.457182333
35	0.819201995	0.4538408092
36	0.8216957606	0.4521340811
37	0.819201995	0.4511974514
38	0.8204488778	0.4502082344
39	0.8216957606	0.4477905509
40	0.8241895262	0.4449966131
41	0.825436409	0.4437369941
42	0.825436409	0.4420740164
43	0.8266832918	0.439978888
44	0.825436409	0.4380561213
45	0.8266832918	0.4365271601
46	0.8266832918	0.4354436169
47	0.8279301746	0.433729585
48	0.8279301746	0.4313430033
49	0.8279301746	0.4301686134
50	0.8279301746	0.4289658095
51	0.8279301746	0.4283570927
52	0.8279301746	0.4273357725
53	0.8279301746	0.4261819861
54	0.8291770574	0.4244919405
55	0.8279301746	0.4234841072
56	0.8279301746	0.4221932794
57	0.8291770574	0.4198261999
58	0.8291770574	0.4183097761
59	0.8291770574	0.417028674
60	0.8291770574	0.4161944881
61	0.8291770574	0.4140350759
62	0.8291770574	0.4134419037
63	0.8291770574	0.4121609867
64	0.8291770574	0.4106271103
65	0.8291770574	0.41014678
66	0.8291770574	0.4087364164
67	0.8291770574	0.4083766357
68	0.8291770574	0.4076371402
69	0.8291770574	0.4067010844
70	0.8291770574	0.4060027161
71	0.8291770574	0.4051976669
72	0.8304239401	0.4048686018
73	0.8304239401	0.4040769945
74	0.8316708229	0.4035367444
75	0.8316708229	0.4033713162
76	0.8316708229	0.4031959889
77	0.8316708229	0.4023901865
78	0.8304239401	0.4018526006
79	0.8304239401	0.4009579112
80	0.8316708229	0.4003830415
81	0.8304239401	0.4000234871
82	0.8329177057	0.3996771871
83	0.8341645885	0.3993891868
84	0.8341645885	0.3989645747
85	0.8354114713	0.3984568687
86	0.8379052369	0.3970060665
87	0.8379052369	0.3967317819
88	0.8379052369	0.3963846479
89	0.8391521197	0.3959765917
90	0.8366583541	0.3954756539
91	0.8379052369	0.3951908243
92	0.8391521197	0.3942440016
93	0.8403990025	0.3936814535
94	0.8416458853	0.3923662098
95	0.8416458853	0.39220142
96	0.8416458853	0.3915557868
97	0.8391521197	0.3911198687
98	0.8403990025	0.3905882123
99	0.8416458853	0.3904333722
100	0.8428927681	0.3902524721
101	0.8428927681	0.3897630284
102	0.8441396509	0.3895582821
103	0.8441396509	0.3891578254
104	0.8453865337	0.3885201984
105	0.8453865337	0.387512171
106	0.8453865337	0.3871912137
107	0.8441396509	0.3871330982
108	0.8453865337	0.3863616989
109	0.8453865337	0.386252366
110	0.8453865337	0.3857075568
111	0.8478802993	0.3855326956
112	0.8466334165	0.3855308214
113	0.849127182	0.385089926
114	0.8478802993	0.3847954952
115	0.8466334165	0.3844459874
116	0.8466334165	0.3838012215
117	0.8453865337	0.3834317725
118	0.8453865337	0.3833369832
119	0.8478802993	0.3826157692
120	0.8478802993	0.3826037444
121	0.8478802993	0.3822870487
122	0.849127182	0.3821581713
123	0.8478802993	0.38170446
124	0.8478802993	0.381604758
125	0.8503740648	0.3810890913
126	0.8503740648	0.3803292423
127	0.8503740648	0.3800141634
128	0.8503740648	0.3798845839
129	0.8503740648	0.3792959087
130	0.8503740648	0.3785398058
131	0.8503740648	0.3782570809
132	0.8503740648	0.3780843467
133	0.8516209476	0.3775044179
134	0.8516209476	0.3771031985
135	0.8503740648	0.3767034976
136	0.8503740648	0.3763780497
137	0.8503740648	0.3760426335
138	0.8503740648	0.3759673448
139	0.8503740648	0.3758897784
140	0.8503740648	0.3757996924
141	0.8503740648	0.3757926711
142	0.8516209476	0.3756997884
143	0.8503740648	0.3752060946
144	0.8503740648	0.3745735443
145	0.8503740648	0.3744031426
146	0.8503740648	0.3742205449
147	0.8503740648	0.3737642602
148	0.8503740648	0.3735238743
149	0.8503740648	0.3733627014
150	0.8503740648	0.3729895839
151	0.8503740648	0.3726648612
152	0.8516209476	0.3724803473
153	0.8516209476	0.3724376692
154	0.8528678304	0.3722185867
155	0.8528678304	0.3721583691
156	0.8528678304	0.3719673835
157	0.8528678304	0.3716881716
158	0.8528678304	0.3715920604
159	0.8528678304	0.3708072491
160	0.8528678304	0.3698562204
161	0.8528678304	0.369763694
162	0.8516209476	0.3696444196
163	0.8528678304	0.3695674807
164	0.8528678304	0.3694744712
165	0.8528678304	0.3693187124
166	0.8528678304	0.3691256626
167	0.8528678304	0.3689753176
168	0.8528678304	0.368951828
169	0.8528678304	0.3688026261
170	0.8541147132	0.368430309
171	0.8541147132	0.3683330308
172	0.8541147132	0.3681002492
173	0.855361596	0.3679939907
174	0.855361596	0.3678770581
175	0.8541147132	0.3676662578
176	0.8541147132	0.3673164903
177	0.8541147132	0.3672012562
178	0.855361596	0.3670017119
179	0.855361596	0.3670017119
180	0.855361596	0.3669961979
181	0.855361596	0.3669955584
182	0.8541147132	0.3669564455
183	0.8566084788	0.3667291629
184	0.855361596	0.3666912173
185	0.855361596	0.3665050981
186	0.8566084788	0.366104932
187	0.8566084788	0.3657100941
188	0.8566084788	0.3654982735
189	0.8566084788	0.3653722053
190	0.8566084788	0.3652237071
191	0.8566084788	0.3651062656
192	0.8566084788	0.3651062649
193	0.8566084788	0.3651062644
194	0.8566084788	0.3649805812
195	0.8566084788	0.3648084827
196	0.8566084788	0.3647338322
197	0.8566084788	0.3646961192
198	0.8566084788	0.3645168178
199	0.8566084788	0.3643471059
200	0.8566084788	0.3642366689
201	0.8566084788	0.3640494199
202	0.8566084788	0.3636847936
203	0.8566084788	0.3635368817
204	0.8566084788	0.3632198614
205	0.8566084788	0.3631395185
206	0.8566084788	0.3626225756
207	0.8566084788	0.3624181929
208	0.8566084788	0.3623766392
209	0.8566084788	0.3617968203
210	0.8566084788	0.3616921922
211	0.8566084788	0.3613324603
212	0.8566084788	0.3612047927
213	0.8566084788	0.36119816
214	0.8566084788	0.3609327375
215	0.8566084788	0.3608615705
216	0.8566084788	0.3608076509
217	0.8566084788	0.360801853
218	0.8566084788	0.3606915087
219	0.8566084788	0.3605382715
220	0.855361596	0.3604146705
221	0.855361596	0.3603891989
222	0.855361596	0.360253794
223	0.855361596	0.359989858
224	0.855361596	0.3596729844
225	0.855361596	0.359648523
226	0.855361596	0.3595720927
227	0.855361596	0.3594507206
228	0.855361596	0.359339383
229	0.855361596	0.359118921
230	0.855361596	0.3590498908
231	0.855361596	0.3588782825
232	0.855361596	0.3588291197
233	0.8566084788	0.3586905383
234	0.8566084788	0.3586905381
235	0.8566084788	0.3586584633
236	0.8566084788	0.3585100148
237	0.8566084788	0.3580998256
238	0.8566084788	0.3580121469
239	0.8566084788	0.357699059
240	0.8578553616	0.357606194
241	0.8566084788	0.3575219196
242	0.8566084788	0.3571371576
243	0.8566084788	0.3570747639
244	0.8566084788	0.3570124882
245	0.8603491272	0.3569025839
246	0.8603491272	0.3567498202
247	0.8603491272	0.3563830979
248	0.8603491272	0.3563830931
249	0.8603491272	0.356299288
250	0.8603491272	0.3559577264
251	0.8603491272	0.355797842
252	0.8603491272	0.3556681965
253	0.8603491272	0.3556524812
254	0.8603491272	0.3555967176
255	0.8603491272	0.3555581444
256	0.8591022444	0.3553934045
257	0.8578553616	0.3551360073
258	0.8578553616	0.3551134626
259	0.8591022444	0.3549665165
260	0.8591022444	0.3548849425
261	0.8591022444	0.354721149
262	0.8591022444	0.3541989967
263	0.8591022444	0.3541203905
264	0.8603491272	0.3540768235
265	0.8603491272	0.3539149492
266	0.8603491272	0.3535758321
267	0.8603491272	0.3535227838
268	0.8603491272	0.3532161414
269	0.8603491272	0.3531447095
270	0.8603491272	0.3530211089
271	0.8603491272	0.3527276223
272	0.8603491272	0.3525990535
273	0.8603491272	0.3521495693
274	0.86159601	0.3516318975
275	0.86159601	0.3514835745
276	0.86159601	0.3513052042
277	0.86159601	0.3512755422
278	0.86159601	0.3512087631
279	0.86159601	0.3511914849
280	0.86159601	0.3511538218
281	0.86159601	0.3511269466
282	0.86159601	0.3511124003
283	0.86159601	0.3510500254
284	0.86159601	0.3507117953
285	0.86159601	0.3504889762
286	0.86159601	0.3503199828
287	0.86159601	0.3501900681
288	0.86159601	0.3500694082
289	0.86159601	0.3500265469
290	0.86159601	0.3498590034
291	0.86159601	0.3498366022
292	0.86159601	0.3497805287
293	0.86159601	0.3496568698
294	0.86159601	0.3495877583
295	0.8628428928	0.3492042516
296	0.8628428928	0.3491476614
297	0.8628428928	0.3490609743
298	0.8628428928	0.3490555297
299	0.8628428928	0.3490547709
300	0.86159601	0.348434107
301	0.86159601	0.3483411244
302	0.86159601	0.3482201915
303	0.8628428928	0.3480336483
304	0.8628428928	0.3478771836
305	0.8628428928	0.3478203386
306	0.8653366584	0.3472994741
307	0.8653366584	0.3471996909
308	0.8653366584	0.3468796525
309	0.8665835411	0.346726209
310	0.8665835411	0.3465348264
311	0.8665835411	0.3464367867
312	0.8665835411	0.3464136881
313	0.8665835411	0.3463755481
314	0.8665835411	0.3463354612
315	0.8665835411	0.3462751951
316	0.8665835411	0.3462232733
317	0.8665835411	0.3461098358
318	0.8678304239	0.3460717749
319	0.8678304239	0.3460124993
320	0.8678304239	0.3457755796
321	0.8678304239	0.3456081845
322	0.8678304239	0.34550543
323	0.8690773067	0.3454819284
